Cd_conta	Descricao	Tipo_conta	Vl_saldo	Cd_contabil_con	Dt_fluxo	Vl_dia_1	Vl_dia_2	Vl_dia_3	Vl_dia_4	Vl_dia_5	Vl_dia_6	Vl_dia_7	Vl_dia_8	Vl_dia_9	Vl_dia_10	Vl_dia_11	Vl_dia_12	Vl_dia_13	Vl_dia_14	Vl_dia_15	Vl_dia_16	Vl_dia_17	Vl_dia_18	Vl_dia_19	Vl_dia_20	Vl_dia_21	Vl_dia_22	Vl_dia_23	Vl_dia_24	Vl_dia_25	Vl_dia_26	Vl_dia_27	Vl_dia_28	Vl_dia_29	Vl_dia_30	Rateio	Prefixo_rateio	Ativo	Cd_historico	Cd_tipo_de_paga	Usuario_modific	Usuario_criacao	Sessao	Dt_modificacao	campo46	campo47	campo48	campo49	campo50	campo51	campo52	campo53	campo54	campo55	campo56	campo57	campo58	campo59	campo60	campo61	campo62	campo63	campo64	campo65	usrcont1	usrcont2	usrcont3	usrcont4	usrcont5
1030  	FINANCEIRAS                             	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103001	Juros Recebidos                         	A	0	5320    	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103002	Descontos Recebidos                     	A	0	5339    	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103003	Rendimentos de Aplicacao                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103004	Variacao Monetaria/Cambial Ativa        	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103005	Desconto de Titulos                     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103006	Contrato de Cambio                      	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	0	   	  	   	   	54350	2014-06-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103007	Multa Recebida                          	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
103008	Rendimento de Aplicacao                 	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	31348	2014-07-23 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
1050  	OUTRAS                                  	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
105001	Alienacao do Ativo Permanente           	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
105002	Cheques a Compensar                     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
105003	Indenizacoes                            	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
105004	Recuperacao de Despesas                 	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
105010	Retencao PIS                            	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
105011	Retencao COFINS                         	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
1070  	DEVOLUCOES DE COMPRAS                   	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
107001	Devolucoes de Compras                   	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	0	   	  	   	   	54389	2014-06-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
20    	PAGAMENTOS                              	T	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
2001  	ATIVIDADES OPERACIONAIS                 	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
200101	Compra de Materiais                     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
200102	Compra de Servicos                      	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
200103	Transportes                             	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
200104	Cheque a Pagar Compensar                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
200105	Estorno Cheque Receber Devolvido        	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
200108	Pagamento Unificado                     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
2010  	CUSTO COM PESSOAL                       	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201001	Salarios                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201002	Pró-Labore                              	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201003	FGTS                                    	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201004	INSS                                    	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201005	Pensao Alimenticia                      	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201007	Vale Transporte                         	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201008	Vale Refeicao/Alimentacao               	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201009	Rescisao                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201010	Ferias                                  	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201011	Comissoes                               	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201012	Seguro de Vida                          	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
201013	Farmacia                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
2020  	DESPESAS                                	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202001	Energia Eletrica                        	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202002	Alugueis                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202003	Telefone                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202004	Agua                                    	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202005	Uso e Consumo                           	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202006	Manutencao                              	A	0	4510    	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202007	Rede Ponto a Ponto                      	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202008	Internet                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202009	Material de Divulgacao e Propaganda     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202010	Gastos com Veiculos                     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202011	Servicos de Terceiros                   	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202012	Despesas de Viagens                     	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202013	Comissoes                               	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	0	   	  	   	   	60021	2014-06-16 00:00:00.000	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202014	Outras Despesas                         	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202015	Software                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202016	Seguros                                 	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202017	Imobilizado                             	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202018	Multas de Transito                      	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202019	Impostos e Taxas                        	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202020	IPTU                                    	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202021	Material de Escritorio                  	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202022	Correios                                	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202023	Treinamento de Pessoal                  	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
202024	Antecipacao de Lucros                   	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
2030  	TRIBUTARIAS                             	S	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
203001	ICMS                                    	A	0	        	NULL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	                         	1	   	  	   	   	0	NULL	NULL	NULL	NULL	NULL	      	      	      	      	 	 	 	  	  	  	   	   	   	0	0	0	                    	                    	                    	NULL	0
